829	1535	227442	227464	3792	50971	50822	NaN	NaN	NaN	NaN
837	220645	4194	3725	3803	226534	1536	4195	3726	50983	50824
788	220602	1523	4193	3724	226536	3747	50902	50806	NaN	NaN
225664	807	811	1529	220621	226537	3744	50809	50931	NaN	NaN
781	1162	225624	3737	51006	NaN	NaN	NaN	NaN	NaN	NaN
791	1525	220615	3750	50912	51081	NaN	NaN	NaN	NaN	NaN
821	1532	220635	50960	NaN	NaN	NaN	NaN	NaN	NaN	NaN
786	225625	1522	3746	50893	NaN	NaN	NaN	NaN	NaN	NaN
816	225667	3766	50808	NaN	NaN	NaN	NaN	NaN	NaN	NaN
777	787	50804	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
770	3801	50878	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
769	3802	50861	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1538	848	225690	51464	50885	NaN	NaN	NaN	NaN	NaN	NaN
803	1527	225651	50883	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3807	1539	849	50976	NaN	NaN	NaN	NaN	NaN	NaN	NaN
772	1521	227456	3727	50862	NaN	NaN	NaN	NaN	NaN	NaN
227429	851	51002	51003	NaN	NaN	NaN	NaN	NaN	NaN	NaN
227444	50889	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
814	220228	50811	51222	NaN	NaN	NaN	NaN	NaN	NaN	NaN
813	220545	3761	226540	51221	50810	NaN	NaN	NaN	NaN	NaN
4197	3799	51279	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1127	1542	220546	4200	3834	51300	51301	NaN	NaN	NaN	NaN
828	227457	3789	51265	NaN	NaN	NaN	NaN	NaN	NaN	NaN
825	1533	227466	3796	51275	NaN	NaN	NaN	NaN	NaN	NaN
824	1286	51274	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1671	1520	768	220507	NaN	NaN	NaN	NaN	NaN	NaN	NaN
815	1530	227467	51237	NaN	NaN	NaN	NaN	NaN	NaN	NaN
780	1126	3839	4753	50820	NaN	NaN	NaN	NaN	NaN	NaN
779	490	3785	3838	3837	50821	NaN	NaN	NaN	NaN	NaN
778	3784	3836	3835	50818	NaN	NaN	NaN	NaN	NaN	NaN
776	224828	3736	4196	3740	74	50802	NaN	NaN	NaN	NaN
225668	1531	50813	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
227443	50882	50803	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1817	228640	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
823	227686	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
